Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
Georhizobium	42	49	390
Bradyrhizobium	3542	6966	78102
Rhodopseudomonas	568	500	14408
Bosea	469	324	10804
Nitrobacter	124	139	3680
Afipia	115	87	2120
Tardiphaga	77	55	2135
Oligotropha	51	40	1234
Variibacter	38	37	879
Mesorhizobium	2045	1361	46854
Aminobacter	207	134	5899
Hoeflea	145	82	1738
Phyllobacterium	126	70	1698
Nitratireductor	112	79	2772
Lentilitoribacter	76	19	372
Chelativorans	59	48	673
Roseitalea	37	21	2993
Salaquimonas	35	15	2537
Methylobacterium	1699	1170	28923
Methylorubrum	543	300	4655
Microvirga	168	118	8045
Bartonella	1854	1103	5963
Hyphomicrobium	276	159	3317
Devosia	184	136	6945
Blastochloris	183	90	5449
Pelagibacterium	104	60	1044
Rhodoplanes	89	295	4506
Youhaiella	74	68	2386
Rhodomicrobium	61	37	1215
Maritalea	59	57	1973
Filomicrobium	51	47	1224
Pseudolabrys	212	211	4724
Ancylobacter	103	98	6129
Labrys	100	48	5428
Azorhizobium	97	59	3730
Starkeya	45	37	3360
Xanthobacter	44	66	1525
Methylocystis	376	229	10603
Methylosinus	137	132	3041
Terasakiella	88	36	629
Methyloceanibacter	118	63	3897
Hartmannibacter	99	59	1702
Pseudorhodoplanes	82	59	1257
CandidatusHodgkinia	78	51	150
Nordella	74	53	3802
Ochrobactrum	333	220	6824
Brucella	135	184	3907
Methylocella	93	87	2250
Beijerinckia	63	35	847
Methylovirgula	58	28	2652
Martelella	174	89	6529
Aureimonas	46	26	1900
Breoghania	111	62	3689
Cohaesibacter	77	69	1952
CandidatusPhaeomarinobacter	73	32	836
Parvibaculum	24	18	3395
Chelatococcus	161	97	5616
Paracoccus	1182	854	43137
Labrenzia	898	484	7170
Sulfitobacter	891	1991	17967
Rhodobacter	720	714	16972
Celeribacter	569	245	8730
Phaeobacter	473	317	8414
Roseovarius	424	291	9212
Dinoroseobacter	257	131	1519
Ruegeria	241	130	4016
Rhodovulum	233	149	7585
Leisingera	219	126	10592
